"id_stasiun","tanggal","total_sesi","total_kwh","total_pendapatan","nama_stasiun","jumlah_charger","utilisasi_persen"
"ST001",2026-01-01,1,11.66,29150,"Green Charge Sudirman",8,0.52
"ST001",2026-01-02,1,16.99,42475,"Green Charge Sudirman",8,0.52
"ST001",2026-01-03,1,44.08,110200,"Green Charge Sudirman",8,0.52
"ST001",2026-01-04,1,10.29,25725,"Green Charge Sudirman",8,0.52
"ST001",2026-01-05,1,10.77,26925,"Green Charge Sudirman",8,0.52
"ST001",2026-01-06,1,47.6,119000,"Green Charge Sudirman",8,0.52
"ST001",2026-01-08,3,141.8,354500,"Green Charge Sudirman",8,1.56
"ST001",2026-01-10,2,25.4,63500,"Green Charge Sudirman",8,1.04
"ST001",2026-01-11,1,31.5,78750,"Green Charge Sudirman",8,0.52
"ST001",2026-01-12,1,53.29,133225,"Green Charge Sudirman",8,0.52
"ST001",2026-01-14,1,23.49,58725,"Green Charge Sudirman",8,0.52
"ST001",2026-01-15,1,42.38,105950,"Green Charge Sudirman",8,0.52
"ST001",2026-01-16,1,59.69,149225,"Green Charge Sudirman",8,0.52
"ST001",2026-01-17,2,22.55,56375,"Green Charge Sudirman",8,1.04
"ST001",2026-01-18,1,34.98,87450,"Green Charge Sudirman",8,0.52
"ST001",2026-01-20,1,12.54,31350,"Green Charge Sudirman",8,0.52
"ST001",2026-01-23,2,40.33,100825,"Green Charge Sudirman",8,1.04
"ST001",2026-01-25,1,54.74,136850,"Green Charge Sudirman",8,0.52
"ST001",2026-01-26,1,59.97,149925,"Green Charge Sudirman",8,0.52
"ST001",2026-01-27,1,6.36,15900,"Green Charge Sudirman",8,0.52
"ST001",2026-01-28,2,117.11,292775,"Green Charge Sudirman",8,1.04
"ST001",2026-02-01,3,104.02,260050,"Green Charge Sudirman",8,1.56
"ST001",2026-02-02,2,34.7,86750,"Green Charge Sudirman",8,1.04
"ST001",2026-02-04,1,37.73,94325,"Green Charge Sudirman",8,0.52
"ST001",2026-02-07,1,39.27,98175,"Green Charge Sudirman",8,0.52
"ST001",2026-02-08,1,13.45,33625,"Green Charge Sudirman",8,0.52
