"id_transaksi","id_stasiun","tanggal","durasi_menit","energi_kwh","status","pendapatan"
"TRX00001","ST008",2026-05-10,26,48.96,"Selesai",122400
"TRX00002","ST005",2026-05-22,55,10.31,"Selesai",25775
"TRX00003","ST001",2026-06-30,47,17.23,"Selesai",43075
"TRX00004","ST009",2026-03-08,36,15.07,"Selesai",37675
"TRX00005","ST007",2026-02-25,31,58.41,"Gagal",0
"TRX00006","ST002",2026-06-05,49,27.74,"Selesai",69350
"TRX00007","ST010",2026-04-04,45,45.83,"Selesai",114575
"TRX00008","ST004",2026-02-16,53,44.26,"Selesai",110650
"TRX00009","ST007",2026-05-27,54,13.91,"Selesai",34775
"TRX00010","ST010",2026-01-12,66,45.09,"Selesai",112725
"TRX00011","ST006",2026-01-18,68,12.58,"Selesai",31450
"TRX00012","ST010",2026-02-12,29,6.82,"Selesai",17050
"TRX00013","ST005",2026-05-17,69,50.8,"Gagal",0
"TRX00014","ST003",2026-05-05,43,37.8,"Selesai",94500
"TRX00015","ST006",2026-03-13,52,34.95,"Selesai",87375
"TRX00016","ST005",2026-02-10,50,7.1,"Selesai",17750
"TRX00017","ST005",2026-01-08,47,9.16,"Selesai",22900
"TRX00018","ST004",2026-05-16,38,59.33,"Selesai",148325
"TRX00019","ST006",2026-01-10,39,6.79,"Selesai",16975
"TRX00020","ST002",2026-03-15,68,14.51,"Selesai",36275
"TRX00021","ST008",2026-06-11,85,48.37,"Gagal",0
"TRX00022","ST004",2026-04-16,61,57.48,"Selesai",143700
"TRX00023","ST005",2026-06-25,60,33.44,"Selesai",83600
"TRX00024","ST005",2026-05-28,43,25.21,"Gagal",0
"TRX00025","ST004",2026-03-30,27,52.3,"Selesai",130750
"TRX00026","ST002",2026-04-28,46,45.29,"Selesai",113225
"TRX00027","ST006",2026-04-20,47,11.97,"Selesai",29925
"TRX00028","ST008",2026-04-25,47,16.61,"Selesai",41525
"TRX00029","ST006",2026-02-01,45,52.8,"Selesai",132000
"TRX00030","ST009",2026-04-10,66,35.05,"Selesai",87625
"TRX00031","ST010",2026-02-17,69,18.46,"Selesai",46150
"TRX00032","ST009",2026-03-20,60,45.06,"Selesai",112650
"TRX00033","ST001",2026-06-01,34,15.18,"Gagal",0
"TRX00034","ST007",2026-03-30,47,56.52,"Selesai",141300
"TRX00035","ST004",2026-01-11,67,11.23,"Selesai",28075
"TRX00036","ST009",2026-03-24,55,19.59,"Gagal",0
"TRX00037","ST004",2026-05-13,35,35.61,"Selesai",89025
"TRX00038","ST003",2026-01-19,40,8.24,"Selesai",20600
"TRX00039","ST008",2026-03-04,30,12.09,"Selesai",30225
"TRX00040","ST007",2026-04-17,58,11.06,"Gagal",0
"TRX00041","ST001",2026-04-28,37,52.62,"Selesai",131550
"TRX00042","ST006",2026-04-24,60,35.26,"Gagal",0
"TRX00043","ST004",2026-02-21,66,26.25,"Selesai",65625
"TRX00044","ST005",2026-05-07,59,38.13,"Gagal",0
"TRX00045","ST006",2026-02-28,39,43.25,"Selesai",108125
"TRX00046","ST005",2026-02-11,29,26.54,"Selesai",66350
"TRX00047","ST008",2026-05-13,33,37.61,"Gagal",0
"TRX00048","ST007",2026-04-19,47,33.59,"Selesai",83975
"TRX00049","ST005",2026-06-19,40,18.32,"Gagal",0
"TRX00050","ST007",2026-01-17,62,25.79,"Selesai",64475
"TRX00051","ST001",2026-02-24,45,10.6,"Selesai",26500
"TRX00052","ST001",2026-04-20,13,23.52,"Gagal",0
"TRX00053","ST006",2026-04-02,58,25.69,"Selesai",64225
"TRX00054","ST009",2026-05-30,73,59.32,"Selesai",148300
"TRX00055","ST004",2026-03-10,37,10.1,"Gagal",0
"TRX00056","ST010",2026-05-23,50,34.4,"Selesai",86000
"TRX00057","ST007",2026-01-26,41,9.73,"Selesai",24325
"TRX00058","ST003",2026-04-12,28,53.92,"Selesai",134800
"TRX00059","ST003",2026-06-10,38,39.09,"Selesai",97725
"TRX00060","ST002",2026-04-02,43,59.76,"Gagal",0
"TRX00061","ST007",2026-05-31,39,26.51,"Selesai",66275
"TRX00062","ST005",2026-04-19,49,10.09,"Selesai",25225
"TRX00063","ST010",2026-02-10,24,52.69,"Selesai",131725
"TRX00064","ST002",2026-03-19,60,29.49,"Selesai",73725
"TRX00065","ST009",2026-01-12,31,50.97,"Gagal",0
"TRX00066","ST003",2026-05-26,42,32.44,"Gagal",0
"TRX00067","ST001",2026-01-07,52,8.12,"Gagal",0
"TRX00068","ST009",2026-01-16,57,53.73,"Selesai",134325
"TRX00069","ST010",2026-05-20,22,51.44,"Gagal",0
"TRX00070","ST003",2026-06-21,31,25.42,"Gagal",0
"TRX00071","ST004",2026-01-06,42,54.15,"Selesai",135375
"TRX00072","ST003",2026-05-27,25,39.28,"Gagal",0
"TRX00073","ST003",2026-03-07,48,40.72,"Selesai",101800
"TRX00074","ST006",2026-03-13,42,36.46,"Selesai",91150
"TRX00075","ST003",2026-01-24,76,10.22,"Selesai",25550
"TRX00076","ST010",2026-01-21,22,40.53,"Gagal",0
"TRX00077","ST004",2026-06-10,41,42.43,"Selesai",106075
"TRX00078","ST001",2026-06-02,26,19.31,"Selesai",48275
"TRX00079","ST002",2026-06-24,32,54.65,"Selesai",136625
"TRX00080","ST004",2026-01-28,67,59.72,"Selesai",149300
"TRX00081","ST002",2026-02-19,23,22.18,"Selesai",55450
"TRX00082","ST003",2026-02-15,65,11.98,"Selesai",29950
"TRX00083","ST001",2026-03-30,39,40.4,"Gagal",0
"TRX00084","ST007",2026-05-06,55,25.81,"Selesai",64525
"TRX00085","ST009",2026-01-06,28,56.42,"Gagal",0
"TRX00086","ST002",2026-06-13,58,41.38,"Selesai",103450
"TRX00087","ST003",2026-01-21,61,53.38,"Gagal",0
"TRX00088","ST004",2026-05-09,23,41.68,"Selesai",104200
"TRX00089","ST004",2026-05-07,60,28.45,"Gagal",0
"TRX00090","ST001",2026-01-01,41,11.66,"Selesai",29150
"TRX00091","ST007",2026-01-01,66,57.69,"Selesai",144225
"TRX00092","ST004",2026-01-15,37,29.22,"Selesai",73050
"TRX00093","ST003",2026-06-04,48,29.49,"Selesai",73725
"TRX00094","ST005",2026-05-01,35,9.45,"Selesai",23625
"TRX00095","ST008",2026-05-26,52,13.41,"Selesai",33525
